age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
21,4,137510,11,9,2,3,0,4,1,0,0,20,11,0
52,6,173839,0,6,2,4,0,4,1,0,0,60,39,0
56,5,76534,11,9,2,4,2,1,0,0,0,21,3,0
49,4,195554,11,9,2,14,0,4,1,0,0,44,39,0
55,2,253062,15,10,2,10,0,4,1,0,0,40,39,1
20,4,73266,15,10,4,14,3,1,1,0,0,40,39,0
17,0,151141,0,6,4,0,3,4,1,0,0,30,39,0
33,6,193246,11,9,4,4,1,4,1,0,0,55,10,0
29,4,190350,2,8,4,8,4,2,0,0,0,35,0,0
66,4,33619,11,9,2,8,0,2,1,0,0,4,39,0
45,6,94962,11,9,2,3,0,4,1,0,0,40,9,0
63,7,216871,15,10,2,1,0,4,1,0,1740,40,39,0
49,4,151107,11,9,4,3,1,2,1,0,0,40,39,0
37,1,32528,11,9,2,1,0,4,1,0,0,40,9,1
31,4,259931,5,4,2,7,0,4,1,0,0,40,39,0
43,4,124692,9,13,2,12,0,4,1,0,0,40,39,1
34,6,56964,11,9,2,14,0,4,1,0,0,35,39,0
51,4,224207,15,10,2,12,0,4,1,0,0,40,39,1
39,0,179352,15,10,0,0,1,4,0,0,0,35,39,0
33,4,265168,9,13,2,12,0,2,1,0,0,55,39,0
38,4,218015,15,10,2,3,0,4,1,0,0,48,39,1
71,4,97870,12,14,0,10,1,4,0,0,0,15,11,0
53,1,117847,7,12,2,1,0,4,1,0,0,40,39,0
68,4,115772,11,9,2,11,0,4,1,0,0,40,34,0
58,4,290661,11,9,2,3,0,4,1,0,0,40,39,0
43,4,303051,8,11,2,4,0,4,1,15024,0,40,39,1
42,2,261899,12,14,2,10,0,4,1,0,0,50,39,1
34,4,134737,9,13,4,12,3,4,1,0,0,40,39,1
22,4,157332,11,9,4,1,1,4,0,0,0,35,39,0
58,2,217775,11,9,2,4,0,4,1,7298,0,40,39,1
38,4,498785,11,9,2,6,0,4,1,0,0,40,39,0
70,4,142851,6,5,2,4,0,4,1,0,0,18,39,0
30,4,109117,8,11,4,6,3,4,1,0,0,45,39,0
52,4,176124,11,9,2,13,0,4,1,0,0,40,39,1
31,4,258849,8,11,4,1,4,2,0,0,0,40,39,0
33,4,130057,7,12,4,3,1,4,1,0,0,45,39,0
59,4,333270,12,14,2,3,5,1,0,0,0,35,30,0
32,4,171889,11,9,0,1,1,4,0,0,0,68,39,0
28,7,90872,15,10,0,1,1,2,0,0,0,40,39,0
23,4,202344,9,13,4,10,3,4,0,0,0,40,39,0
18,0,28311,1,7,4,0,3,4,0,0,0,35,39,0
54,4,199307,15,10,0,3,4,4,0,0,0,48,39,0
42,5,144236,15,10,4,12,1,4,1,0,0,60,39,0
44,4,212888,9,13,0,4,4,4,0,0,0,45,39,0
32,2,84119,11,9,2,3,0,4,1,0,0,40,39,0
42,7,345969,9,13,2,4,0,4,1,0,0,48,39,1
55,2,110490,9,13,2,10,5,4,0,0,0,60,39,0
36,7,25806,10,16,2,10,0,1,1,0,0,40,3,0
50,4,193746,11,9,2,4,0,4,1,0,0,60,39,0
32,4,29312,11,9,2,14,0,4,1,0,0,40,39,0
27,4,200802,15,10,4,13,1,4,0,0,0,40,39,0
18,9,193889,15,10,4,15,3,4,0,0,0,20,42,0
27,1,47907,9,13,4,1,1,4,0,0,0,40,39,0
28,6,159623,15,10,4,10,3,4,1,0,0,30,39,0
28,4,66473,11,9,0,7,3,4,1,0,0,40,39,0
37,4,262278,8,11,2,4,0,2,1,15024,0,45,39,1
52,6,129311,15,10,2,4,0,4,1,0,0,95,39,1
31,4,341672,15,10,2,1,0,1,1,0,0,50,19,0
25,4,397962,11,9,4,1,2,2,0,0,0,40,39,0
56,4,398067,11,9,6,1,1,4,0,0,0,40,39,0
50,4,170050,5,4,2,7,0,4,1,0,0,40,39,0
23,4,260617,0,6,4,3,1,4,1,0,0,40,39,0
36,6,343721,10,16,4,10,1,4,1,0,0,30,0,1
32,4,205528,11,9,0,1,4,4,0,0,0,40,39,0
39,4,389279,8,11,0,4,4,4,0,0,0,40,39,0
52,6,185407,9,13,2,4,0,4,1,0,0,50,39,1
47,4,387468,15,10,2,10,0,4,1,0,0,40,34,1
26,4,158333,4,3,4,14,1,4,1,0,0,40,4,0
32,4,367904,0,6,0,7,1,4,0,0,0,40,26,0
30,4,262092,9,13,2,12,0,4,1,0,0,55,39,0
40,4,64980,15,10,2,1,0,2,1,0,0,55,39,1
47,4,165229,2,8,2,1,0,4,1,0,0,40,39,0
30,4,143540,6,5,2,5,0,4,1,0,0,40,39,0
65,4,143175,15,10,6,12,2,4,0,0,0,45,39,0
21,4,198050,7,12,4,1,1,4,0,0,0,25,39,0
18,0,67793,11,9,4,0,3,4,0,0,0,60,39,0
24,4,181557,11,9,4,6,3,2,1,0,0,40,39,0
27,0,224421,15,10,0,0,3,4,1,0,0,40,39,0
20,6,157145,15,10,4,5,3,4,1,0,2258,10,39,0
42,4,108502,11,9,0,12,1,4,0,0,0,42,39,0
37,4,40955,9,13,4,10,1,4,1,0,0,30,39,0
71,9,78786,5,4,2,15,0,4,1,0,2149,24,39,0
51,4,326005,11,9,2,4,0,4,1,0,0,40,9,1
31,4,37546,9,13,4,10,1,4,0,0,0,40,39,0
54,4,140359,5,4,0,7,4,4,0,0,3900,40,39,0
22,9,129980,15,10,4,15,1,4,1,0,0,25,39,0
53,4,449376,11,9,2,11,0,2,1,0,0,40,39,1
47,4,164113,15,10,2,3,0,2,1,7688,0,40,39,1
30,4,30226,1,7,0,12,3,4,1,0,0,40,39,0
58,4,119386,8,11,0,1,1,4,0,0,0,60,39,0
21,4,147655,11,9,4,1,3,4,0,0,0,40,39,0
29,4,89813,11,9,2,7,5,4,0,0,0,40,34,0
47,4,104521,8,11,2,10,0,4,1,0,0,40,39,1
54,4,229983,9,13,0,10,1,4,0,0,0,36,39,0
22,4,297380,11,9,4,12,3,2,0,0,0,40,39,0
35,4,108946,11,9,0,13,4,4,0,0,0,40,39,0
36,6,34180,11,9,4,5,1,4,1,0,0,70,39,1
19,4,148392,11,9,4,1,3,4,1,0,0,30,39,0
29,7,382272,9,13,4,3,1,4,1,0,0,40,39,0
57,4,233382,12,14,4,4,1,4,1,0,0,40,5,0
24,4,211585,11,9,2,14,3,4,0,0,0,40,39,0
39,6,102178,15,10,2,4,0,4,1,0,0,35,39,0
62,0,197286,11,9,2,0,0,4,1,0,0,40,39,0
54,6,168723,11,9,2,12,0,4,1,0,0,40,39,0
59,4,95967,14,15,2,4,0,2,1,0,0,40,42,0
47,4,49298,11,9,0,12,1,4,1,0,0,50,39,0
29,4,327766,15,10,0,4,4,4,1,0,0,55,39,1
20,4,176321,2,8,4,1,3,4,0,0,0,40,26,0
24,4,200997,11,9,4,6,3,4,1,0,0,45,39,0
64,4,260082,3,2,2,7,0,4,1,0,0,40,5,0
53,4,341439,12,14,4,4,1,4,0,0,0,60,39,1
39,4,269455,11,9,2,5,0,4,1,0,0,45,39,0
48,4,121424,9,13,2,4,0,4,1,0,0,55,39,1
50,7,198103,9,13,4,4,1,4,0,0,0,40,39,0
43,4,228456,7,12,0,4,1,2,1,0,0,40,39,0
32,6,399088,9,13,0,10,1,4,0,0,1340,45,39,0
32,4,53206,9,13,0,3,1,4,1,0,0,50,39,1
32,4,353994,9,13,2,4,2,1,0,0,0,40,3,1
68,4,214521,14,15,6,10,4,4,0,0,0,16,39,0
34,4,186346,11,9,5,8,1,4,0,0,0,40,39,0
32,2,42596,9,13,0,10,1,4,1,0,0,40,39,0
40,4,65866,15,10,0,13,4,4,0,0,213,40,39,0
32,2,287229,15,10,0,8,1,4,0,0,0,30,24,0
30,5,204742,9,13,2,4,0,4,1,0,0,50,39,1
28,4,183151,11,9,2,3,0,4,1,0,0,50,39,0
62,4,82906,9,13,2,4,5,4,0,4064,0,35,9,0
41,4,118001,1,7,4,7,1,2,1,0,0,40,39,0
53,4,120839,15,10,2,3,0,4,1,0,0,40,39,0
32,4,107435,11,9,0,7,1,4,0,0,0,40,39,0
17,5,183784,0,6,4,12,3,4,1,0,0,15,39,0
47,4,106544,11,9,4,8,1,4,0,0,0,40,39,0
20,4,63210,11,9,4,6,3,4,1,0,0,15,39,0
28,4,34452,8,11,2,3,0,4,1,0,0,50,39,0
28,4,340408,15,10,0,3,1,4,1,0,0,46,39,0
41,4,204410,11,9,2,3,0,4,1,0,1485,44,39,1
36,4,77953,11,9,2,3,0,0,1,0,0,40,39,0
34,6,247540,11,9,4,5,1,4,1,0,1974,30,39,0
42,2,213019,12,14,4,10,1,4,0,0,0,40,39,1
58,4,192806,5,4,4,6,1,4,0,0,0,33,39,0
32,4,281384,11,9,1,8,2,4,0,0,0,10,39,0
35,6,188540,6,5,2,3,0,4,1,0,0,50,39,0
38,4,405284,9,13,4,8,3,4,0,0,0,35,39,0
72,6,473748,11,9,2,12,0,4,1,0,0,30,39,0
55,4,148590,0,6,6,3,4,2,0,0,0,40,39,0
50,7,78923,11,9,2,3,0,4,1,0,1485,40,39,1
39,6,188571,8,11,2,5,0,4,1,0,0,60,39,0
31,4,79190,11,9,4,8,3,4,0,0,0,35,39,0
23,4,172232,11,9,4,13,3,4,1,0,0,50,39,0
28,4,338409,9,13,2,10,5,2,0,0,0,40,5,0
59,5,122390,15,10,2,4,0,4,1,0,1977,48,39,1
27,4,193898,9,13,2,12,0,4,1,0,0,45,39,1
25,4,236564,11,9,4,1,1,4,1,0,0,40,39,0
22,4,381741,11,9,2,13,0,4,1,0,0,40,39,0
43,4,180599,9,13,5,4,4,4,1,8614,0,40,39,1
49,2,37353,12,14,2,4,0,4,1,0,0,40,39,1
28,4,115971,15,10,0,1,4,4,0,0,0,40,39,0
39,2,344855,12,14,2,10,5,4,0,0,1977,20,39,1
38,4,103474,9,13,4,13,1,4,0,0,0,45,39,0
47,2,101016,9,13,2,1,5,4,0,7688,0,40,39,1
48,4,70668,0,6,4,9,2,4,0,0,0,40,39,0
43,4,241928,11,9,5,1,1,2,0,0,0,32,39,0
82,0,194590,8,11,6,0,1,4,0,0,0,8,39,0
57,6,98466,11,9,2,1,5,4,0,0,0,16,39,0
62,2,176839,12,14,2,10,0,4,1,0,0,10,39,0
36,1,125933,9,13,4,10,3,4,1,0,2258,40,39,0
45,6,172822,11,9,2,8,0,4,1,3411,0,40,39,0
21,2,38771,15,10,4,1,3,4,1,0,0,40,39,0
73,4,179001,11,9,6,12,1,4,0,0,0,7,39,0
53,2,135102,11,9,2,8,0,4,1,0,2002,45,39,0
55,6,96459,0,6,2,5,0,4,1,0,1887,70,39,1
43,0,387839,11,9,4,0,2,4,0,0,0,40,39,0
21,2,185279,11,9,4,1,3,4,1,0,0,20,39,0
42,4,328239,15,10,4,8,3,4,1,0,0,30,39,0
82,0,29441,5,4,6,0,1,4,1,0,0,5,39,0
50,4,158948,11,9,2,10,0,4,1,0,0,84,39,0
40,4,178417,11,9,2,3,0,4,1,0,0,35,39,0
21,0,220115,15,10,4,0,3,4,1,0,0,20,39,0
35,6,454915,6,5,2,3,0,4,1,0,0,40,39,0
31,4,373185,15,10,4,3,4,4,1,0,0,42,26,0
61,4,56009,15,10,2,12,0,4,1,0,0,40,39,0
50,1,307555,9,13,0,10,1,4,1,0,0,60,39,1
36,4,108103,11,9,2,8,0,4,1,0,0,50,39,0
43,4,195258,11,9,2,1,0,4,1,0,0,40,39,1
19,7,159269,15,10,4,1,3,4,1,0,0,15,39,0
33,4,154227,8,11,0,12,1,4,1,0,0,40,39,0
60,6,376973,11,9,2,3,0,4,1,0,0,42,39,1
50,1,107079,11,9,2,8,0,4,1,0,0,40,39,0
40,4,320451,10,16,2,10,0,1,1,0,1977,45,17,1
63,4,236338,11,9,2,12,5,4,0,0,0,35,39,0
55,4,52953,11,9,0,8,4,4,0,0,0,40,39,0
36,4,90897,7,12,4,13,1,4,0,0,0,40,39,0
49,4,169760,9,13,2,10,5,4,0,0,0,50,39,1
18,4,183824,2,8,4,8,3,4,1,0,0,30,39,0
34,4,274577,11,9,0,1,4,2,0,0,0,40,39,0
27,4,215423,9,13,0,1,4,4,0,0,0,16,39,0
37,4,126708,11,9,2,1,5,4,0,0,0,60,39,0
38,7,87282,8,11,4,1,4,1,0,0,0,40,39,0
37,4,112264,11,9,2,14,0,4,1,0,0,40,39,0
44,4,186790,12,14,2,4,0,4,1,0,0,48,39,0
26,4,34393,15,10,0,1,1,4,0,0,0,40,39,0
48,5,30575,8,11,2,3,0,4,1,0,0,70,39,1
20,4,47678,11,9,4,3,3,4,1,0,0,40,39,0
34,4,154548,15,10,4,1,4,4,0,0,0,38,39,0
40,4,209547,9,13,2,12,0,4,1,0,1977,60,39,1
28,4,190060,11,9,2,12,0,4,1,0,0,40,39,1
75,6,124256,15,10,2,4,0,4,1,0,2149,35,39,0
59,6,156797,11,9,6,4,1,4,0,13550,0,60,39,1
21,4,152246,15,10,4,6,3,1,1,0,0,40,30,0
23,4,181820,15,10,4,5,4,4,1,0,0,45,39,0
45,4,54038,15,10,2,1,5,4,0,0,1902,20,39,1
47,1,380127,11,9,4,4,1,4,0,0,0,40,39,0
44,4,114753,15,10,6,13,4,4,0,0,0,38,39,0
23,4,47218,15,10,4,1,2,4,0,0,0,40,39,0
43,7,117471,11,9,4,1,1,4,0,0,0,40,39,0
20,4,227411,15,10,4,8,3,4,0,0,0,20,39,0
54,4,167380,11,9,2,3,0,4,1,0,0,40,39,1
42,2,267252,12,14,5,4,4,2,1,0,0,45,39,1
38,4,111499,11,9,2,12,0,4,1,0,1977,99,39,1
52,4,145409,15,10,2,14,0,4,1,15024,0,60,2,1
47,6,159399,8,11,2,8,0,4,1,0,0,45,39,0
48,2,24366,8,11,2,11,0,0,1,0,0,40,39,0
35,4,175614,8,11,0,10,4,4,0,0,0,40,39,1
61,4,74040,9,13,0,12,1,1,0,0,0,30,35,0
44,2,162506,12,14,2,10,0,4,1,0,0,35,39,0
32,4,149531,11,9,4,7,3,4,1,0,0,40,39,0
32,4,33117,8,11,2,8,0,4,1,0,0,40,39,0
48,4,50880,15,10,2,3,0,4,1,0,0,40,11,0
27,4,29732,9,13,4,10,1,4,0,4865,0,36,39,0
65,4,209831,8,11,2,1,5,4,0,0,0,40,39,0
25,4,160445,11,9,0,3,1,4,1,0,0,40,39,0
44,4,203943,9,13,2,4,0,2,1,0,0,35,39,1
60,4,33266,11,9,2,11,0,4,1,0,0,40,39,0
58,4,94741,2,8,2,8,5,4,0,0,0,24,39,0
24,4,508548,11,9,2,5,0,4,1,0,0,50,39,0
33,4,342458,11,9,4,3,1,4,1,0,0,40,39,0
53,4,548580,15,10,2,3,0,4,1,0,0,40,13,0
22,9,201959,11,9,4,15,3,2,1,0,0,40,39,0
56,4,129836,11,9,2,8,5,4,0,0,0,10,39,0
41,4,154714,8,11,2,3,0,4,1,0,0,40,39,1
46,5,167882,8,11,0,4,1,4,0,8614,0,70,39,1
41,4,30126,9,13,0,4,1,4,0,0,0,45,39,1
30,0,138744,11,9,4,0,3,4,1,0,0,40,39,0
47,9,104489,0,6,2,15,0,4,1,0,0,45,39,0
62,6,166894,11,9,2,3,0,4,1,0,0,60,39,0
41,2,177599,9,13,0,10,4,4,0,0,0,35,39,0
30,4,30290,11,9,4,7,1,4,0,0,0,40,39,0
27,4,119793,15,10,2,3,0,4,1,0,0,55,0,0
40,5,50644,7,12,0,12,4,4,0,1506,0,40,39,0
56,4,176079,11,9,2,1,5,4,0,15024,0,24,39,1
20,4,39477,15,10,4,5,1,4,0,0,0,40,39,0
56,4,442116,15,10,2,4,0,4,1,0,0,54,39,1
61,4,101500,8,11,2,1,0,4,1,0,0,40,39,0
60,4,142922,11,9,2,3,0,4,1,0,0,50,39,0
37,4,173968,11,9,2,14,0,4,1,0,0,40,39,0
50,4,310774,9,13,2,12,0,4,1,0,0,35,39,0
47,4,302711,1,7,0,1,4,4,0,0,0,40,39,0
47,4,188330,11,9,2,14,0,4,1,0,0,25,39,0
32,4,211349,0,6,2,14,0,4,1,0,0,40,39,0
24,4,216129,9,13,4,12,1,4,1,0,0,50,39,0
38,4,239397,5,4,2,3,0,4,1,0,0,36,26,0
24,4,148709,11,9,4,8,1,4,0,0,0,40,39,0
35,4,297485,9,13,0,4,4,4,0,0,0,40,39,0
43,7,24763,12,14,2,10,0,4,1,0,1887,45,39,1
32,4,193042,9,13,2,12,0,4,1,0,0,44,39,0
18,9,352430,1,7,4,15,3,4,1,0,1602,30,39,0
59,4,201159,2,8,6,7,2,4,0,0,0,48,39,0
25,2,476599,9,13,4,10,1,4,0,0,0,40,39,0
55,4,141727,9,13,2,1,5,4,0,3464,0,40,39,0
53,0,158352,12,14,4,0,1,4,0,8614,0,35,39,1
22,7,52262,9,13,2,10,0,4,1,0,0,20,9,0
45,4,240356,15,10,0,12,1,4,0,0,0,55,39,0
50,4,172942,15,10,0,8,3,4,1,0,0,28,39,0
32,4,79586,9,13,2,4,0,1,1,0,0,40,30,1
27,4,157612,9,13,5,4,1,4,0,0,0,60,39,0
40,6,93793,11,9,2,3,0,4,1,0,0,50,39,1
46,4,193047,11,9,2,4,0,4,1,0,0,40,39,1
35,4,169104,15,10,3,3,1,4,1,0,0,40,39,0
45,4,78529,11,9,0,7,1,4,1,0,0,50,39,0
32,4,188246,11,9,0,3,3,4,1,0,0,40,39,0
29,4,169544,8,11,4,13,1,4,1,0,0,40,39,0
42,4,367049,12,14,4,4,1,4,0,4650,0,40,39,0
21,0,205939,15,10,4,0,3,4,1,0,0,40,39,0
62,4,143746,11,9,0,8,1,4,0,0,0,40,39,0
26,4,66692,15,10,0,1,1,4,0,0,0,40,39,0
66,6,274451,6,5,2,5,0,4,1,0,0,25,39,1
24,4,152724,11,9,4,7,4,2,1,0,0,40,39,0
47,4,52795,15,10,2,7,0,4,1,0,0,46,39,0
23,7,241951,15,10,4,10,1,4,1,0,0,40,39,0
47,4,115971,15,10,2,3,0,4,1,0,0,40,39,1
35,2,405284,12,14,2,10,5,4,0,0,0,35,39,1
46,4,170850,9,13,0,7,1,4,1,0,1590,40,0,0
22,4,320615,5,4,4,3,3,4,1,0,0,35,39,0
28,7,155397,9,13,4,4,1,4,1,0,0,55,39,0
31,4,198613,11,9,2,1,0,4,1,0,0,35,39,0
35,4,164193,15,10,4,14,1,4,1,0,0,40,39,0
47,4,178686,8,11,4,8,1,4,1,0,0,40,39,0
30,4,171598,9,13,3,12,1,4,0,0,0,50,39,0
32,6,97723,8,11,4,3,1,4,1,0,0,40,39,0
48,4,207277,12,14,2,4,0,4,1,15024,0,40,39,1
21,4,132320,1,7,4,3,1,4,1,0,0,35,39,0
31,4,183000,14,15,4,13,1,4,1,0,0,55,39,0
48,4,113211,9,13,2,3,0,4,1,99999,0,40,39,1
48,4,232149,9,13,0,13,3,4,0,0,0,40,39,0
29,4,133292,15,10,4,1,3,2,1,0,0,40,39,0
40,6,107762,9,13,2,4,0,4,1,0,0,45,39,0
45,4,77085,9,13,2,3,0,1,1,0,0,40,24,1
27,4,175034,9,13,4,1,1,4,0,0,0,40,39,0
18,0,25837,1,7,4,0,3,4,1,0,0,72,39,0
28,4,175710,9,13,4,1,1,4,0,0,0,30,0,0
18,4,220754,1,7,4,6,3,4,1,0,0,24,39,0
21,0,189888,7,12,4,0,1,4,1,0,0,55,39,0
23,4,481175,15,10,4,4,3,3,1,0,0,24,29,0
39,4,176296,7,12,2,11,0,2,1,0,0,60,39,0
25,4,242136,11,9,0,7,1,2,1,0,0,40,39,0
63,4,102479,9,13,0,4,1,4,0,0,0,40,39,0
32,4,379412,15,10,4,3,3,4,1,0,0,40,39,0
35,4,189922,8,11,2,13,0,4,1,0,0,52,39,1
30,4,303867,11,9,5,14,1,4,1,0,0,44,39,0
57,5,33725,9,13,2,3,0,4,1,0,0,50,39,1
27,4,129009,9,13,4,4,1,4,0,0,0,55,39,0
35,4,104545,11,9,0,4,4,4,0,0,0,20,39,0
39,4,147258,0,6,2,3,0,4,1,0,0,40,39,0
35,4,183898,11,9,0,3,4,4,1,2354,0,40,39,0
22,4,148294,1,7,4,3,3,4,1,0,0,35,39,0
24,6,117210,11,9,0,3,1,4,1,0,0,50,39,0
25,4,227548,2,8,2,8,0,2,1,3103,0,40,39,0
40,2,104196,2,8,2,4,0,4,1,0,0,40,39,0
20,4,434710,15,10,4,1,1,4,0,0,0,20,39,0
35,4,192923,11,9,2,3,0,4,1,0,2377,40,39,0
50,4,155594,7,12,2,7,0,4,1,0,0,50,39,1
26,4,172063,15,10,4,12,3,4,0,0,0,24,39,0
29,4,209934,4,3,2,8,0,4,1,0,0,40,26,0
38,4,617898,9,13,2,5,0,4,1,0,0,50,39,0
27,4,69132,9,13,4,13,1,4,1,0,0,37,39,0
24,4,183751,1,7,2,3,0,4,1,0,0,65,39,0
34,4,176673,15,10,4,12,2,2,0,0,0,35,39,0
31,7,46492,8,11,4,3,3,4,1,0,0,40,39,0
19,4,35245,11,9,4,6,3,4,1,0,0,25,39,0
60,2,93272,11,9,2,8,0,4,1,0,0,40,39,0
39,4,322143,2,8,2,14,0,4,1,15024,0,70,39,1
42,4,78765,15,10,2,3,0,4,1,3103,0,45,39,1
63,4,318763,15,10,0,3,4,4,1,0,0,22,39,0
38,4,43712,9,13,2,10,0,4,1,7298,0,60,39,1
39,4,176335,12,14,2,4,0,4,1,7688,0,65,39,1
69,0,163595,11,9,6,0,1,4,0,0,0,20,39,0
37,4,139684,11,9,0,7,1,4,1,0,0,45,39,0
37,6,80324,11,9,2,4,0,4,1,0,0,60,39,1
64,4,391121,5,4,2,5,0,4,1,0,0,40,39,1
54,5,96460,11,9,2,4,0,4,1,7688,0,60,39,1
37,4,175759,9,13,2,13,0,4,1,0,0,40,39,1
45,2,308275,9,13,2,4,0,2,1,7688,0,65,39,1
35,4,202263,7,12,4,4,1,4,1,0,0,38,39,0
43,1,101709,15,10,0,6,1,1,1,0,0,40,39,0
25,4,321205,9,13,4,4,1,4,1,4101,0,35,39,0
25,4,290441,7,12,4,1,1,2,0,0,0,40,39,0
34,4,296724,15,10,4,4,1,4,0,0,0,17,39,0
30,4,165115,8,11,0,1,4,4,0,0,0,30,39,0
23,4,218899,9,13,4,12,3,4,0,0,0,60,39,0
20,4,81145,15,10,4,12,1,4,0,0,0,25,39,0
27,4,303954,9,13,2,12,0,4,1,0,0,45,39,0
61,4,203126,9,13,0,9,1,4,0,0,0,12,0,0
25,4,443855,11,9,2,8,0,4,1,0,0,40,26,0
20,4,122622,15,10,4,5,1,4,0,0,0,40,39,0
49,5,77132,11,9,2,4,0,4,1,0,0,40,2,1
30,4,327112,9,13,0,12,1,4,1,0,1564,40,39,1
45,4,82797,9,13,2,4,0,4,1,0,0,45,39,1
33,4,405913,15,10,2,10,0,4,1,0,0,40,29,1
47,7,55272,15,10,2,3,0,4,1,0,0,40,39,1
